"vendors_id","uuid","serial"
"107","a09d99e6-9a83-439a-8fea-8f375bb0e709","1ca3e406-c4b3-488f-8d63-973ce5c19b3d"
"251","1ed704d3-1834-4657-b902-9223bf514861","142adac1-932a-4e25-9a96-79fbfd82216c"
"65","1acedcee-bbac-4f58-8a29-87b0371554f8","A157FN230400026"
"201","8fb3c1a8-4799-4f43-837c-cd25802f0312","9739241e-936c-44f7-ab58-ec413ce76105"
"201","afc1d23e-f52c-4b8c-9b45-c327a243f86e","9739241e-936c-44f7-ab58-ec413ce76105"
"229","07a36a7c-a07a-44e0-90f6-61f5692396c7","A157FN230400183"
"229","ef9b9a3c-c3aa-4f0c-bbc6-00c6e8aa998b","A157FN230400183"
"229","12dd722d-bfd5-4ac4-9e4c-370aeca520ea","A157FN230400183"
"229","e0bbae4a-e218-45fc-810e-a284bfde2166","A157FN230400183"
"229","28afba5a-1483-482f-98f5-c4aa999abf25","A157FN230400183"
"229","053813fe-1cb8-428c-a843-76d1e30fb043","A157FN230400183"
"107","a21e10cd-8dbd-4a43-9e58-597e31bd3d92","1ca3e406-c4b3-488f-8d63-973ce5c19b3d"
"229","e212fe42-17fb-4c64-881e-2db49b515be4","A157FN230400183"
"201","3cb77b51-267d-4714-b629-bcb579402e2f","9739241e-936c-44f7-ab58-ec413ce76105"
"201","93ebc8ef-7136-4b4f-b272-d78e6defa8f9","9739241e-936c-44f7-ab58-ec413ce76105"
"201","10f077a2-5123-4f74-88be-31ff65402737","9739241e-936c-44f7-ab58-ec413ce76105"
"201","3ba697f4-365d-454f-aa30-8a9e7198d630","9739241e-936c-44f7-ab58-ec413ce76105"
"65","e305437e-5240-446e-9ec9-6a81b88dbc8b","A157FN230400026"
"65","a318a470-7703-4d71-8c65-19a11fe286ac","A157FN230400026"
"65","b5492bb6-8e16-4ffe-8419-56a31c7d159e","A157FN230400026"
"201","9b6d2ce7-6d15-4471-a022-a95b23f48869","9739241e-936c-44f7-ab58-ec413ce76105"
"201","975ed369-aef2-4b20-af38-ce50e2473125","9739241e-936c-44f7-ab58-ec413ce76105"
"201","00ce23b7-8617-4b08-80ec-fb1f36dc3ba4","9739241e-936c-44f7-ab58-ec413ce76105"
"201","b64f4bcc-9c05-48d0-8c5d-c7312f71d9e3","9739241e-936c-44f7-ab58-ec413ce76105"
"201","69078aa7-6df0-40ea-8bce-2abe17eeddcf","9739241e-936c-44f7-ab58-ec413ce76105"
"201","2ed5f426-d95d-4ffd-a912-d710a17c60a7","9739241e-936c-44f7-ab58-ec413ce76105"
"229","f898d6ab-a4e3-4fb3-a75e-1a155ed5a168","A157FN230400183"
"201","6832c475-b94c-4b53-a43d-0f737e42db37","9739241e-936c-44f7-ab58-ec413ce76105"
"201","3888f12d-96b1-48e4-b90e-9d819a2b950c","9739241e-936c-44f7-ab58-ec413ce76105"
"229","e9d28711-ee26-4626-8a6d-3d819f15c9c3","A157FN230400183"
"65","d4573b1a-f708-4044-8051-78ee8a4e3134","A157FN230400026"
"65","9ec393a9-30d4-40b3-a619-7631a8897cff","A157FN230400026"
"65","d7a1dc6c-0e04-40cc-aacc-95f872f2c446","A157FN230400026"
"65","4e3740a9-a85b-4c9e-9364-91bc76d6ec70","A157FN230400026"
"65","e0b198f8-a6d3-497c-ba60-127b63ccf00d","A157FN230400026"
"65","3abd75bd-00ce-47f7-ba7e-4a43486bd3e5","A157FN230400026"
"65","e3588d8d-fe9c-4cd3-aeb7-bf198b822d5a","A157FN230400026"
"31","f2434f05-a917-405a-92ab-4779e1a62585","A127CP220600111"
"201","032ae079-4999-411f-8b0b-135b0b57b9c0","9739241e-936c-44f7-ab58-ec413ce76105"
"229","31e11222-d864-448c-a238-a2c364ce3a34","A157FN230400183"
"201","adc531a2-6e0e-4c6d-bfee-4fb9612f802c","9739241e-936c-44f7-ab58-ec413ce76105"
"65","97d32bbc-c172-4278-9da6-682667b522d5","A157FN230400026"
"65","d596c9f5-56b8-4538-9a2a-9b57612ef2c5","A157FN230400026"
"65","8901c707-5df8-4b5f-983b-365ee989b955","A157FN230400026"
"65","836a3c6f-a7c6-44d1-97ba-f78c0b07ee4d","A157FN230400026"
"65","063edefd-1b63-4ce6-8288-202651f3ce31","A157FN230400026"
"65","902055d7-7aa4-4f56-a8dc-5c1c653755a5","A157FN230400026"
"65","2770686c-168a-4e96-8be8-489eebc0d46b","A157FN230400026"
"65","32a0f103-7af5-4165-a8e0-cab1aa3ad2fc","A157FN230400026"
"65","80622815-9715-4274-974b-116a350a9d6f","A157FN230400026"
"201","f3ec5db3-8b2a-47fb-95be-9785345115bc","9739241e-936c-44f7-ab58-ec413ce76105"
"201","39215564-8300-43d2-814f-2687399595db","9739241e-936c-44f7-ab58-ec413ce76105"
"201","163de8e2-3c99-4f9c-b5d2-bacf6990a18a","9739241e-936c-44f7-ab58-ec413ce76105"
"201","043e85c1-a3c2-4924-8155-82e4cffa1ba3","9739241e-936c-44f7-ab58-ec413ce76105"
"201","45993abb-5948-416e-8ffb-bdfa06a53df8","9739241e-936c-44f7-ab58-ec413ce76105"
"201","2050fb5d-9bd9-4bb4-8868-11f732b55d4b","9739241e-936c-44f7-ab58-ec413ce76105"
"201","181668a1-dd14-4b1e-9f09-86386c7cbefe","9739241e-936c-44f7-ab58-ec413ce76105"
"201","74ce37ee-45ad-428d-b4da-eab214a821a7","9739241e-936c-44f7-ab58-ec413ce76105"
"201","5fd8011f-02e3-4716-94cf-9891551c5723","9739241e-936c-44f7-ab58-ec413ce76105"
"65","e254fb94-ecbc-4105-9eaa-cdbfbce580b8","A157FN230400026"
"201","af890f4b-0f65-4bec-a976-8e58d67657d9","9739241e-936c-44f7-ab58-ec413ce76105"
"65","218be47e-0bf7-44a6-a165-fa9baf598955","A157FN230400026"
"65","cd24d065-bffc-46a3-a72e-8341c49dd3da","A157FN230400026"
"65","2cb568c2-4e0f-43e3-9f87-5dea3b868212","A157FN230400026"
"65","c8f6087a-c21e-4d08-951f-5cb05c2d8b3e","A157FN230400026"
"65","8785506a-d10e-4a78-9abf-6f5e6e80953f","A157FN230400026"
"229","3763b219-c3a0-4576-8ac6-a0ec0931d767","A157FN230400183"
"201","50807c41-7d97-4db3-9b39-a1781b5dc6a6","9739241e-936c-44f7-ab58-ec413ce76105"
"201","9079d17b-9ad5-4789-88f6-302c103c443e","9739241e-936c-44f7-ab58-ec413ce76105"
"229","d8b6ac08-fafd-4163-a167-6d7e1de397ac","A157FN230400183"
"201","6c27cf7f-a824-426e-a336-4d34bc26d86f","9739241e-936c-44f7-ab58-ec413ce76105"
"201","5042f322-ecd4-4eeb-9b80-ad4f14884f70","9739241e-936c-44f7-ab58-ec413ce76105"
"201","250c6dfc-401d-4da8-831d-9cd477fcce28","9739241e-936c-44f7-ab58-ec413ce76105"
"159","396331b0-c87e-4d89-a6bf-bc06fb028d5c","A157FN230400099"
"201","3e4319b5-d50f-4638-8c72-b7e51bfc8f69","9739241e-936c-44f7-ab58-ec413ce76105"
"201","813dfa17-ba33-456a-aeb9-3175d126f023","9739241e-936c-44f7-ab58-ec413ce76105"
"201","acd0b6d6-e225-4af4-8261-92256f1e81d2","9739241e-936c-44f7-ab58-ec413ce76105"
"201","3751ec66-e694-41fb-8091-aec9c30b6a64","9739241e-936c-44f7-ab58-ec413ce76105"
"266","8a162647-ee58-49c2-aa2b-8a52829a7180","A157FN230400181"
"229","b5746686-72bd-4c3a-b06a-4d76b05b59de","A157FN230400183"
"201","ff6efdd9-d245-4f47-b5bb-cf647387accd","9739241e-936c-44f7-ab58-ec413ce76105"
"65","f194b863-3f25-475c-bb8a-7ee82777fa1e","A157FN230400026"
"65","0d7af955-a1af-4fe4-b338-e0fc96913fe8","A157FN230400026"
"65","6d44b7a2-7a42-41c5-be72-e571a1fa45ad","A157FN230400026"
"65","19d3f11c-f5f3-49b3-9db1-11bf304652c0","A157FN230400026"
"65","7482da18-a13e-4631-a0e8-23d7588aeed4","A157FN230400026"
"201","c37aaf87-019f-426b-b326-8b72ffb2670f","9739241e-936c-44f7-ab58-ec413ce76105"
"201","896c051f-0a4d-4cf8-b460-ccff5b48ec30","9739241e-936c-44f7-ab58-ec413ce76105"
"107","5e971222-42ab-4923-b138-d868ce03ae23","1ca3e406-c4b3-488f-8d63-973ce5c19b3d"
"201","25d35d54-311c-4262-8a77-0eff5af77776","9739241e-936c-44f7-ab58-ec413ce76105"
"201","95eaf6bd-13ff-4b89-8e60-d0293968f210","9739241e-936c-44f7-ab58-ec413ce76105"
"201","281e6176-6fd4-443f-a1f1-117accac57a2","9739241e-936c-44f7-ab58-ec413ce76105"
"65","4994ba3a-e1c8-44e0-931f-4fe3a929f2c8","A157FN230400026"
"65","5e30542c-5bb4-4ad8-adb2-246ecb64007a","A157FN230400026"
"65","b23f3bbd-9c39-44a9-8851-a7b7a3da3623","A157FN230400026"
"65","04889a32-0aa4-4bcc-8ab6-f622d5fbbff1","A157FN230400026"
"65","5eec8cc3-ee19-49ba-944c-4eacf57339dd","A157FN230400026"
"201","96e3d260-392e-4877-b05b-7b95366f6260","9739241e-936c-44f7-ab58-ec413ce76105"
"201","87880377-d243-4a90-a2e6-97fc44a59519","9739241e-936c-44f7-ab58-ec413ce76105"
"201","e04bdddf-e20c-49ae-a97a-4d775ccaa257","9739241e-936c-44f7-ab58-ec413ce76105"
"201","d45ab7bd-db57-4c23-b08a-ad05cfe84a34","9739241e-936c-44f7-ab58-ec413ce76105"
"201","4d23b9b6-cd65-4325-839c-3cf2254b6a6a","9739241e-936c-44f7-ab58-ec413ce76105"
"161",NULL,"WPYB002349002485"
"250","9e445988-1d3e-4df7-925e-0baae54008a8","3033107c-248c-48dc-917a-6dead7995a7f"
"263","2791d242-ac70-43be-a803-ac9544c07863","A157FN230400100"
"266","d6fd2454-8a1a-4866-b398-611d65b90487","A157FN230400181"
"65","1979972f-0662-4f22-9723-ddb757b45bd7","A157FN230400026"
"65","02c14fab-0ba2-4cc7-a9ff-4f486595f3d8","A157FN230400026"
"65","b150d15a-aa96-4836-b150-8665593400e0","A157FN230400026"
"65","acbd10e2-f8b5-4a61-b182-619d27a07972","A157FN230400026"
"65","ecfa05de-4d16-4c04-9470-2342cbdf5e56","A157FN230400026"
"114","f5ba8609-ddd6-46ee-8d6a-25c59223c7e7","A157FN230400193"
"114","4ec5abce-e5ad-4fec-ac06-2f56ec832883","A157FN230400193"
"114","a47cc2d6-7313-4e43-9ca7-7edd7d82ba16","A157FN230400193"
"114","2b3fdfeb-ddf8-4ad3-8f6b-260acbb56089","A157FN230400193"
"201","75d09b1e-98e9-4463-be1b-741218deb2a6","9739241e-936c-44f7-ab58-ec413ce76105"
"201","83392d48-dd78-4678-a191-e768e8372f41","9739241e-936c-44f7-ab58-ec413ce76105"
"201","5c411d0c-26e2-4d7e-9f1d-1a05d58a4229","9739241e-936c-44f7-ab58-ec413ce76105"
"201","5a984ca1-96b7-46e0-bb80-b2c4eb35b7ae","9739241e-936c-44f7-ab58-ec413ce76105"
"65","0072d427-76e7-4e7c-bbcc-c7c5f5bb9e81","A157FN230400026"
"201","63176554-1c06-4279-b9f9-8d35a73446d7","9739241e-936c-44f7-ab58-ec413ce76105"
"201","447fd6a6-bfad-4bb7-90a1-07543dac81e7","9739241e-936c-44f7-ab58-ec413ce76105"
"114","87073a44-15f3-42e3-b1e5-e8637da257cc","A157FN230400193"
"65","6590572f-962a-4981-a33a-90bd4b344f2c","A157FN230400026"
"201","814eab52-7c2b-4e43-98f4-e86d328d029c","9739241e-936c-44f7-ab58-ec413ce76105"
"201","189aaf9b-e942-4550-98bf-b8c4b8c7bd72","9739241e-936c-44f7-ab58-ec413ce76105"
"201","82e2c5eb-bca1-4c58-9fa3-b5bc8f1d74b7","9739241e-936c-44f7-ab58-ec413ce76105"
"229","87585aa4-39a8-4d38-921d-558e073e38e8","A157FN230400183"
